actor_lr,rollout/ep_steps,critic_lr,time_elapsed,epoch,total_rollout_steps,rollout/return
0.0001,200.0,0.0001,575.3625273704529,194,39000,-78.30652193644988,,,,,,,5.128376,0.019225763
0.0001,200.0,0.0001,578.4722480773926,195,39200,-78.50567450738265,,,,,,,5.2523317,0.018083787
0.0001,200.0,0.0001,581.6193628311157,196,39400,-78.056011949283,,,,,,,5.281416,0.01851654
0.0001,200.0,0.0001,584.7559514045715,197,39600,-78.48203477965832,,,,,,,5.171075,0.01612815
0.0001,200.0,0.0001,587.8542420864105,198,39800,-76.02714758404724,,,,,,,5.3456035,0.01795863
0.0001,200.0,0.0001,590.941924571991,199,40000,-77.9596475981902,,,,,,,5.313836,0.018340237
0.0001,200.0,0.0001,593.98188996315,200,40200,-77.73801532419589,,,,,,,5.3227315,0.017817697
,,,,200,,,40200,,0.22501000012470637,,0.17332948484656668,0.22501000012470637,,
0.0001,200.0,0.0001,602.1617798805237,201,40400,-78.0758878493052,,,,,,,5.3067107,0.018858584
0.0001,200.0,0.0001,605.2225515842438,202,40600,-78.24864293283618,,,,,,,5.0851183,0.017574029
0.0001,200.0,0.0001,608.3319337368011,203,40800,-78.28621005972823,,,,,,,5.195775,0.019883119
0.0001,200.0,0.0001,611.4610531330109,204,41000,-77.97469169552019,,,,,,,5.370359,0.020615404
0.0001,200.0,0.0001,614.5898749828339,205,41200,-78.23533168815658,,,,,,,5.3762965,0.01746506
0.0001,200.0,0.0001,617.6909439563751,206,41400,-77.98366138042945,,,,,,,5.4784474,0.019301752
0.0001,200.0,0.0001,620.8496170043945,207,41600,-78.10118108751108,,,,,,,5.36205,0.015953043
0.0001,200.0,0.0001,623.9215414524078,208,41800,-77.91784885820364,,,,,,,5.4526153,0.017183783
0.0001,200.0,0.0001,626.9850931167603,209,42000,-78.22140791450178,,,,,,,5.4053802,0.020334926
0.0001,200.0,0.0001,630.090615272522,210,42200,-78.78136960790174,,,,,,,5.501032,0.016659185
0.0001,200.0,0.0001,633.1842441558838,211,42400,-78.57303546235673,,,,,,,5.5745177,0.018281765
0.0001,200.0,0.0001,636.2555792331696,212,42600,-77.75853577415747,,,,,,,5.4429345,0.017971482
0.0001,200.0,0.0001,639.312600851059,213,42800,-78.08249044437073,,,,,,,5.5029087,0.017538648
0.0001,200.0,0.0001,642.4296116828918,214,43000,-78.24284979600299,,,,,,,5.4269686,0.018805616
0.0001,200.0,0.0001,645.5524516105652,215,43200,-78.0158980487309,,,,,,,5.630069,0.016217668
