epoch,actor_lr,time_elapsed,rollout/return,critic_lr,total_rollout_steps,rollout/ep_steps
165,0.0001,212.76726269721985,-307.33010173005994,0.0001,33200,200.0,,,,,,4.8948555,6.9614296
166,0.0001,213.7361297607422,-308.7573885345647,0.0001,33400,200.0,,,,,,4.8536687,7.105576
167,0.0001,214.7694854736328,-309.0583552742499,0.0001,33600,200.0,,,,,,4.889563,6.870001
168,0.0001,216.20699429512024,-312.91728116797145,0.0001,33800,200.0,,,,,,4.914808,7.064763
169,0.0001,217.21045589447021,-312.7483975356859,0.0001,34000,200.0,,,,,,4.902801,7.1023726
170,0.0001,218.6739661693573,-313.7103704335483,0.0001,34200,200.0,,,,,,4.929743,6.8843446
171,0.0001,219.71383595466614,-308.8284911681699,0.0001,34400,200.0,,,,,,4.920151,7.133397
172,0.0001,220.70566654205322,-309.18576123384764,0.0001,34600,200.0,,,,,,4.9396744,7.084657
173,0.0001,221.7538652420044,-310.5245329442826,0.0001,34800,200.0,,,,,,4.952271,7.0193443
174,0.0001,222.7881019115448,-309.93167069010707,0.0001,35000,200.0,,,,,,4.9050736,7.165187
175,0.0001,223.79055786132812,-314.91570987284473,0.0001,35200,200.0,,,,,,4.9233613,7.0782347
176,0.0001,225.28040766716003,-308.10418688533474,0.0001,35400,200.0,,,,,,4.9158177,7.070697
177,0.0001,226.2767539024353,-308.79063327500904,0.0001,35600,200.0,,,,,,4.9081264,7.103515
178,0.0001,227.74763703346252,-311.15797265648314,0.0001,35800,200.0,,,,,,4.950322,6.916277
179,0.0001,229.24177289009094,-315.37256712251707,0.0001,36000,200.0,,,,,,4.984021,6.9469585
180,0.0001,230.27750992774963,-314.5294922790408,0.0001,36200,200.0,,,,,,4.951607,7.196149
181,0.0001,231.2807195186615,-312.66037078486596,0.0001,36400,200.0,,,,,,4.988571,7.05178
182,0.0001,232.29866695404053,-312.7370435933284,0.0001,36600,200.0,,,,,,4.9817677,7.124729
183,0.0001,233.34424686431885,-310.7390785682219,0.0001,36800,200.0,,,,,,4.9760175,7.2544074
184,0.0001,234.37505507469177,-311.02680151250286,0.0001,37000,200.0,,,,,,5.007526,7.151975
185,0.0001,235.37583088874817,-310.64346197374977,0.0001,37200,200.0,,,,,,5.0091124,7.192658
186,0.0001,236.38273286819458,-314.3682022193598,0.0001,37400,200.0,,,,,,5.007387,7.1768475
187,0.0001,237.38231205940247,-309.56829393122007,0.0001,37600,200.0,,,,,,5.041308,7.1104717
188,0.0001,238.3969383239746,-312.04620977538036,0.0001,37800,200.0,,,,,,5.0468307,7.194377
189,0.0001,239.88404893875122,-307.63267714376434,0.0001,38000,200.0,,,,,,5.07211,7.2336383
190,0.0001,240.88290882110596,-309.0514783627463,0.0001,38200,200.0,,,,,,5.065111,7.2329645
191,0.0001,241.83171796798706,-310.77949732183356,0.0001,38400,200.0,,,,,,5.0646076,7.311063
192,0.0001,242.8612265586853,-310.7241146742395,0.0001,38600,200.0,,,,,,5.079129,7.3048997
193,0.0001,243.90993475914001,-310.79758983233984,0.0001,38800,200.0,,,,,,5.1011086,7.304099
194,0.0001,244.94173073768616,-313.5360862151248,0.0001,39000,200.0,,,,,,5.095797,7.352648
195,0.0001,246.0407853126526,-313.8048256995928,0.0001,39200,200.0,,,,,,5.0850215,7.2742004
196,0.0001,247.5103838443756,-306.54941738661,0.0001,39400,200.0,,,,,,5.080681,7.288409
197,0.0001,248.46367478370667,-308.57076011247733,0.0001,39600,200.0,,,,,,5.0957203,7.3938584
198,0.0001,249.4289288520813,-310.7964356707893,0.0001,39800,200.0,,,,,,5.071824,7.3019085
199,0.0001,250.42356085777283,-309.4741154397462,0.0001,40000,200.0,,,,,,5.097955,7.2424617
200,0.0001,251.415780544281,-309.9397356456972,0.0001,40200,200.0,,,,,,5.0280776,7.3383946
200,,,,,,,,,0.7701565780463073,0.7542930528561594,40200,,
201,0.0001,269.2840030193329,-305.43827446661277,0.0001,40400,200.0,,,,,,5.0175514,7.419863
